ID,sex,CCL_cm,deploy_yr,deploy_doy,depart_date,depart_doy,depart_mon,mn_displace
213020,M,89,2020,186,27/08/2021,239,8,85.85825489
213038,M,100,2020,189,10/09/2021,253,9,1081.195464
213039,M,97,2020,190,18/07/2021,199,7,383.9090117
213040,M,95,2020,188,28/08/2021,240,8,379.4298306
213041,M,93,2020,187,14/08/2021,226,8,50.40676724
213042,M,93.2,2020,188,12/08/2021,224,8,342.8131773
213043,M,88,2020,187,12/08/2021,224,8,290.6587589
213045,M,106.3,2020,190,25/08/2021,237,8,1080.166918
213046,M,92.6,2020,191,03/08/2021,215,8,377.4013734
224389,F,103,2020,319,29/12/2021,363,12,1103.814875
224390,F,102,2020,319,14/11/2021,318,11,1079.863147
224391,F,106.4,2020,320,27/11/2021,331,11,1027.638041
224393,F,98.4,2020,320,15/11/2021,319,11,1056.086611
224394,F,89.3,2020,320,15/11/2021,319,11,1043.36417
224395,F,105,2020,322,17/02/2022,48,2,1849.898385
224396,F,98.5,2020,323,27/11/2021,331,11,1022.539625
224397,F,99.6,2020,324,30/12/2021,364,12,1034.961818
224399,F,98,2020,326,03/12/2021,337,12,1038.170537
224400,F,102.6,2020,326,01/01/2022,1,1,991.5966745
224401,F,100.3,2020,328,10/01/2022,10,1,956.5749355
